9431,220
9117,229
9172,246
9100,250
9479,77
9435,129
9463,215
9147,236
9417,282
10137,395
10151,368
9165,40
9373,65
9221,71
9466,80
9375,82
9291,319
9264,365
9343,218
9407,254
9524,363
9106,452
9413,468
9518,277
10145,298
9198,427
9429,449
9659,451
9095,373
9284,108
9107,139
10132,144
9372,165
9658,177
9396,211
9252,296
10086,493
9161,51
10118,119
9283,133
9174,438
9219,272
9395,280
9522,376
9497,377
9185,386
9151,403
10140,433
9322,256
9438,287
9086,328
9262,342
9526,361
9470,104
9508,113
10131,94
9233,209
10114,268
11127,457
9136,142
9118,223
10156,330
9145,404
9265,362
9224,49
10112,54
9450,185
9135,202
9285,273
9243,289
9268,348
10119,437
10173,447
9170,57
9325,89
10120,154
9084,369
10146,456
9384,304
10155,364
9153,15
9177,258
9130,325
11414,422
10169,426
9476,45
9532,374
9303,399
9361,453
12198,494
9123,263
9317,264
9096,346
9193,384
9478,21
9474,58
10129,153
9451,75
9437,260
10113,274
9211,102
9194,239
9405,358
9388,199
9210,206
9482,14
10138,79
9191,180
9132,184
10116,402
10148,391
9121,460
9453,11
9516,78
9390,81
10143,105
9202,151
9180,96
9442,64
9261,219
9546,227
9293,283
9544,106
9316,174
10141,265
9255,284
9326,300
9263,335
9127,43
9133,100
10090,118
9662,138
9499,276
9274,490
9385,266
9146,355
11988,474
9159,19
9186,44
9419,173
9082,197
9344,253
9414,333
9310,383
9214,481
10102,6
9157,34
9119,324
9504,331
9234,473
9269,347
10163,393
10179,445
10101,28
9169,72
9104,73
9401,359
9334,487
9254,85
10088,132
9502,53
9383,321
9370,409
9506,27
9190,92
9292,126
9179,226
9247,234
9339,240
9259,311
9245,103
9195,243
9294,262
10161,396
9181,302
9420,137
9175,338
10125,380
10158,407
10124,429
10170,446
9394,477
9162,67
9342,312
9362,255
9500,259
9660,309
9087,343
9369,5
9340,149
9196,208
9423,228
9287,316
12221,472
11720,486
10104,47
9461,128
9189,160
9332,482
9452,1
9512,52
9251,192
10127,117
9182,159
9387,308
9531,344
9138,222
9171,39
9494,428
9149,20
9290,198
9208,292
9397,423
9103,425
9094,483
9329,251
10153,360
9137,397
9454,492
9473,13
9360,93
10149,201
9280,323
9519,340
10139,398
9271,176
9209,465
11739,491
9173,56
9382,70
9496,125
9352,172
9278,120
9366,163
9469,86
9187,164
9276,495
9307,147
10117,161
9378,350
9281,432
9403,37
9355,194
9304,320
9298,98
9282,261
9152,332
10152,352
9083,461
9323,101
10144,131
9393,231
9192,247
9448,9
9509,17
9517,25
9166,146
9521,191
9377,315
9199,435
9477,23
9158,35
9253,155
9436,214
10107,419
10128,434
9223,32
9483,68
9108,203
9433,306
10133,430
10109,7
9228,24
9213,463
9231,74
9178,87
9489,148
9367,158
9415,217
9356,469
9324,186
9327,334
10126,410
9206,462
9513,33
10115,275
9129,305
9267,448
9235,90
9551,443
9155,30
9197,99
9204,121
9126,279
9412,303
9443,388
9392,411
9359,140
9176,179
9116,195
9299,414
9092,357
9256,417
9535,479
10164,470
9297,2
9164,36
9428,109
9114,110
9188,130
9337,166
9406,171
9507,476
9143,60
11719,485
9447,55
9376,61
9389,134
9560,4
9125,213
9122,389
9217,111
9457,136
9523,329
9520,356
9091,286
9225,372
10111,42
9400,200
9093,354
10157,405
9226,420
11641,471
9458,233
9097,115
10121,169
9422,196
9430,295
9661,421
9141,484
9311,207
10134,241
9657,381
9480,0
9493,205
9134,317
9409,188
9505,379
9308,114
9257,267
9320,488
9472,63
9203,123
10122,257
9312,310
9099,326
9464,367
10162,387
9374,341
9236,345
9462,127
10136,190
9142,66
9399,162
9109,204
9244,382
10110,18
9220,97
9237,124
9492,269
9105,270
9353,88
9418,156
9416,291
9156,337
11307,455
9227,50
9498,210
9131,216
9101,290
9258,394
9557,406
9140,439
11546,467
9354,143
9314,150
9250,170
10135,187
9277,189
9102,424
9239,454
9386,16
9336,245
9275,351
9309,385
10106,408
10130,183
9088,370
10165,401
9319,38
9272,84
9338,271
9260,322
9427,392
9490,224
9346,294
9434,112
9541,297
9424,496
9270,366
9503,22
9510,31
9445,48
9167,69
9380,76
9313,318
9288,327
9289,458
9357,83
9467,141
9302,175
9212,182
9525,288
10142,436
9218,10
9286,242
9488,252
9089,349
9432,221
9201,293
9491,299
9347,418
10172,466
9381,390
9441,413
9460,441
9215,193
9495,489
9487,244
9402,249
9266,313
11706,480
9514,59
9295,167
9484,225
9333,301
10147,378
9110,400
9364,464
11652,475
9207,237
9148,353
9230,8
9404,12
9358,91
9128,212
9335,235
9425,281
9410,307
9527,444
11699,478
9549,497
9296,135
9330,157
9315,375
9439,450
9444,26
9242,230
9391,442
9465,122
9459,168
10123,278
9098,285
9144,339
9475,3
9248,29
9183,62
9348,107
9249,459
9229,95
9240,116
9238,145
9232,178
9421,248
9154,415
10103,41
9528,152
9540,181
9160,238
9184,314
9456,416
9305,431
9663,232
10154,336
9411,371
9446,46
10159,412
9345,440
